pressure,crown_height,mean_stress,max_stress,crown_mm,rise_over_span,crown_over_1200Pa
200.0,0.10619219,487.13836719,574.54734205,106.19219000000001,0.08849349166666667,0.5432055083248019
400.0,0.13422061,781.57703169,929.28309899,134.22061,0.11185050833333333,0.6865794432030734
600.0,0.15406716,1033.40699576,1236.69504795,154.06716,0.1283893,0.7881006123327768
800.0,0.16999862,1262.01411626,1518.73274521,169.99862,0.14166551666666666,0.8695948995082861
1000.0,0.1835556,1475.36409334,1784.34645658,183.55560000000003,0.15296300000000002,0.9389429957501019
1200.0,0.19549174,1677.70021368,2038.27379539,195.49174,0.16290978333333334,1.0
1400.0,0.20623881,1871.61436775,2283.3925728,206.23881,0.171865675,1.054974547773732
1600.0,0.21606987,2058.83247109,2521.60957381,216.06987,0.18005822500000002,1.1052634244290833
1800.0,0.22516988,2240.57471265,2754.26675623,225.16987999999998,0.18764156666666668,1.1518127568970433
1900.0,0.2294884,2329.68327441,2868.8291718,229.4884,0.19124033333333335,1.1739033066051794
2000.0,0.23367057,2417.74259834,2982.35150972,233.67057,0.194725475,1.1952963843894375
2200.0,0.24166949,2591.02537986,3206.61572885,241.66949,0.20139124166666666,1.2362133049713506
2400.0,0.24924107,2760.96419654,3427.64768747,249.24107,0.2077008916666667,1.2749442508414934
2450.0,0.25107431,2802.97922379,3482.45788992,251.07431000000003,0.20922859166666669,1.2843218337511346
2500.0,0.25288532,2844.8187182,3537.10232369,252.88532000000004,0.2107377666666667,1.2935857034164207
2550.0,0.25467485,2886.48832901,3591.58709115,254.67485000000002,0.21222904166666667,1.302739696316581
2600.0,0.2564436,2927.99343998,3645.91800342,256.4436,0.213703,1.3117873931655628
2800.0,0.26332364,3092.46819478,3861.8101568,263.32364,0.2194363666666667,1.3469809005741114
3000.0,0.26991905,3254.68321073,4075.64151925,269.91904999999997,0.22493254166666668,1.3807184385386309
3200.0,0.27626106,3414.88639043,4287.67826825,276.26106,0.23021755000000002,1.4131597580542279
