vid,x,y,z
0,0.51157172,0.20172468,0.02846024
1,0.54316174,0.25032328,0.00000000
2,0.48862502,0.25491468,0.03987588
3,0.37860642,0.32829564,0.08289386
4,0.34596053,0.37935207,0.07746076
5,0.31845673,0.32991336,0.10106598
6,0.30344331,0.46740343,0.04332504
7,0.35383442,0.48240423,0.00000000
8,0.30064778,0.51886291,0.00000000
9,0.25360609,0.49310030,0.03938917
10,0.31559405,-0.47037784,0.05575924
11,0.25496941,-0.45223889,0.07857616
12,0.25827475,-0.49885959,0.04190407
13,0.29937700,-0.42251181,0.10400195
14,0.24822604,-0.54417433,0.00000000
15,0.20126134,-0.52001994,0.02601810
16,0.20053590,-0.56720119,0.00000000
17,0.37298642,-0.44076358,0.04693629
18,0.34427577,-0.42525866,0.08382503
19,0.38548927,-0.39235580,0.08348084
20,0.42844687,-0.35305581,0.07375833
21,0.38550587,-0.34095805,0.11010514
22,0.51856199,-0.30127103,0.00000000
23,0.47345103,-0.31154972,0.04931272
24,0.48610788,-0.34918457,0.00000000
25,0.43021075,-0.30167934,0.09242097
26,0.40960615,-0.24780328,0.09911848
27,0.38374509,-0.29126065,0.11932472
28,0.41801212,-0.40181973,0.04390285
29,-0.49214421,-0.26665080,0.03198816
30,-0.54427772,-0.24801201,0.00000000
31,-0.51484222,-0.30897487,0.00000000
32,-0.44001011,-0.28417073,0.05960548
33,-0.45992259,-0.23758667,0.05427671
34,-0.46319136,-0.32427419,0.03257847
35,-0.42083958,-0.38218013,0.03351295
36,-0.44291485,-0.40341249,0.00000000
37,-0.40630854,-0.44060814,0.00000000
38,-0.47511853,-0.36298144,0.00000000
39,-0.26070032,-0.48898597,0.03958296
40,-0.24814629,-0.54421289,0.00000000
41,-0.20173629,-0.52057925,0.02390620
42,-0.53135831,0.16571251,0.03266833
43,-0.48286191,0.20516046,0.03911860
44,-0.52613668,0.20337942,0.01962166
45,-0.56720119,0.20053590,0.00000000
46,-0.60063100,0.01138557,0.00000000
47,-0.56630359,0.04263852,0.03799747
48,-0.59483533,0.07894536,0.00000000
49,-0.51040607,-0.09778718,0.07358440
50,-0.45575472,-0.10179618,0.10083714
51,-0.47519162,-0.04728741,0.10234615
52,-0.53178593,0.01901235,0.06910318
